fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
10.3,0.34,0.58,3.5,0.095,6.0,24.0,0.9976,3.28,0.99,12,6
8.0,0.67,0.3,2.0,0.099,38.0,82.0,0.99905,3.36,0.63,9.2,6
8.5,0.67,0.51,1.8,0.44299999999999995,16.0,52.0,0.9974,3.03,1.17,9.5,5
10.5,0.63,0.36,2.1,0.12,6.0,13.0,0.9971399999999999,3.1,0.75,11.8,7
6.7,0.42,0.2,2.2,0.09699999999999999,16.0,105.0,0.9968,3.29,0.61,9.4,6
9.0,0.61,0.4,2.6,0.08199999999999999,5.0,18.0,0.9983799999999999,3.31,0.63,10.5,6
8.4,0.57,0.29,2.0,0.08,35.0,120.0,0.9982,3.26,0.5,9.9,5
7.9,1.04,0.05,2.1,0.085,17.0,27.0,0.99615,3.38,0.56,10.1,6
7.6,0.46,0.31,1.8,0.083,16.0,39.0,0.99815,3.4,0.67,9.8,6
9.5,0.4,0.31,6.9,0.08,23.0,53.0,0.9987,3.28,0.65,10.5,6
6.7,0.725,0.02,2.8,0.10099999999999999,60.0,44.0,0.99508,3.44,0.52,10.1,5
6.8,0.56,0.08,1.8,0.07400000000000001,16.0,26.0,0.9943799999999999,3.36,0.81,11.2,6
5.2,0.71,0.08,1.8,0.048,18.0,84.0,0.9929,3.59,0.52,12.9,6
7.3,0.555,0.22,2.0,0.08199999999999999,5.0,15.0,0.9953799999999999,3.36,0.44,9.2,5
6.9,0.43,0.26,1.6,0.076,29.0,57.0,0.9961,3.37,0.74,9.4,5
9.3,0.74,0.19,2.6,0.086,25.0,60.0,0.9986,3.44,0.62,12.1,5
13.7,0.45,0.55,2.3,0.078,6.0,38.0,0.9996,3.17,0.75,10.8,7
8.7,0.8,0.08,2.5,0.055999999999999994,6.0,24.0,0.9972,3.48,0.57,9.6,5
6.8,0.51,0.14,2.2,0.114,5.0,24.0,0.9978,3.57,0.66,9.8,6
11.6,0.47,0.66,2.9,0.054000000000000006,6.0,28.0,0.99572,3.07,0.86,10.4,5
7.2,0.36,0.24,1.8,0.07400000000000001,15.0,38.0,0.9968,3.44,0.54,9.4,6
6.6,0.26,0.21,2.7,0.073,19.0,63.0,0.9972,3.46,0.66,9.3,6
8.1,0.675,0.55,2.6,0.087,3.0,13.0,0.9962,3.15,0.49,9.2,5
6.7,0.6,0.23,2.3,0.086,24.0,114.0,0.99684,3.21,0.57,9.4,5
7.6,0.34,0.29,1.5,0.077,23.0,75.0,0.9968899999999999,3.18,0.59,9.2,5
7.5,0.6,0.12,5.1,0.114,8.0,24.0,0.99836,3.36,0.65,9.6,5
9.3,0.6,0.23,2.0,0.098,15.0,102.0,0.9983299999999999,3.13,0.62,9.4,5
7.6,0.57,0.1,1.8,0.07,15.0,31.0,0.99616,3.49,0.84,10.5,5
6.7,0.96,0.24,3.0,0.077,25.0,94.0,0.9991,3.45,0.44,9.4,5
10.5,0.865,0.45,2.6,0.08800000000000001,15.0,46.0,0.9991,3.15,0.4,9.3,5
7.3,0.365,0.12,2.4,0.078,9.0,23.0,0.9961899999999999,3.33,0.49,9.8,5
8.8,0.66,0.19,3.2,0.091,8.0,21.0,0.9982,3.29,0.66,10.2,5
8.1,0.29,0.3,1.7,0.063,13.0,31.0,0.99616,3.29,0.53,9.4,5
7.1,0.54,0.11,2.0,0.08199999999999999,15.0,67.0,0.99735,3.38,0.65,11.4,6
6.0,0.58,0.08,2.2,0.068,11.0,11.0,0.9957,3.45,0.54,10,7
7.8,0.555,0.12,5.2,0.076,12.0,21.0,0.9972,3.15,0.48,10.3,5
7.6,0.45,0.42,1.8,0.075,9.0,20.0,0.9961,3.38,0.64,9.8,7
7.9,0.4,0.65,8.3,0.053,37.5,278.0,0.99316,3.01,0.51,12.3,7
7.1,0.69,0.1,2.7,0.08900000000000001,13.0,11.0,0.99536,3.26,0.59,11.5,6
9.3,0.28,0.42,1.7,0.071,37.0,69.0,0.99564,3.11,0.57,10.6,7
6.7,0.47,0.2,8.5,0.042,48.0,113.0,0.99021,3.22,0.49,11.3,6
6.9,0.89,0.05,2.4,0.07,14.0,31.0,0.99554,3.51,0.68,9.8,6
7.3,0.4,0.3,2.5,0.067,15.0,37.0,0.99456,3.26,0.56,11.2,5
8.9,0.655,0.33,3.45,0.068,38.0,51.0,0.9969,3.33,0.64,11.6,7
7.3,0.68,0.16,2.2,0.076,13.0,63.0,0.9964,3.3,0.59,9.2,5
8.2,1.09,0.08,3.0,0.17300000000000001,10.0,31.0,0.9955,3.29,0.59,11,4
10.4,0.43,0.27,2.5,0.07400000000000001,15.0,38.0,0.9991,3.18,0.82,10.1,5
8.4,0.4,0.37,2.3,0.09699999999999999,11.0,29.0,0.9977600000000001,3.16,0.7,9.2,6
7.9,0.41,0.06,1.6,0.07,8.0,27.0,0.9974,3.69,0.93,9.6,6
9.1,0.65,0.11,2.3,0.091,21.0,66.0,0.9982,3.18,0.63,9.2,5
7.5,0.655,0.0,1.8,0.094,5.0,14.0,0.9968899999999999,3.36,0.59,9.7,5
8.9,0.52,0.16,2.9,0.079,16.0,40.0,0.9973,3.29,0.53,9.5,5
6.7,0.66,0.02,3.4,0.063,17.0,92.0,0.99218,3.25,0.53,12.8,5
7.3,0.52,0.19,4.0,0.07400000000000001,10.0,28.0,0.9994,3.46,0.61,9.5,5
9.5,0.61,0.21,1.3,0.077,16.0,44.0,0.9968,3.19,0.5,9.3,5
7.5,0.56,0.17,1.4,0.079,13.0,24.0,0.9974,3.29,0.64,9.4,5
7.3,0.54,0.03,2.0,0.084,17.0,39.0,0.99584,3.38,0.59,11,5
7.6,0.59,0.09,1.8,0.068,8.0,14.0,0.9959,3.49,0.68,9.5,5
6.4,0.57,0.12,1.8,0.062,35.0,73.0,0.9940000000000001,3.58,0.66,11.4,5
10.9,0.24,0.52,1.4,0.075,6.0,20.0,0.9974,3.21,1.05,11,7
9.5,0.775,0.28,2.3,0.07400000000000001,44.0,54.0,0.9972,3.41,0.67,12.2,6
6.9,0.655,0.0,2.3,0.081,16.0,22.0,0.99559,3.35,0.47,11.4,5
6.8,0.81,0.02,2.3,0.067,4.0,11.0,0.99472,3.3,0.5,12.8,6
8.0,1.21,0.04,1.8,0.08199999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,5
9.6,0.37,0.41,2.2,0.083,6.0,11.0,0.9962,3.27,0.58,11.9,6
8.4,0.755,0.19,5.2,0.086,13.0,72.0,10.014,3.21,0.61,13,5
6.8,0.69,0.0,1.9,0.067,41.0,55.0,0.99408,3.45,0.63,10.9,5
6.4,0.57,0.03,4.3,0.081,52.0,87.0,0.99566,3.45,0.6,9.7,5
7.9,0.55,0.03,6.0,0.076,13.0,38.0,0.99564,3.25,0.51,11.7,7
8.8,0.65,0.69,5.1,0.087,7.0,55.0,0.9983,3.22,0.74,9.4,6
8.2,0.88,0.12,2.9,0.084,11.0,89.0,0.9968,3.3,0.43,9.7,6
8.1,1.02,0.04,2.0,0.079,5.0,15.0,0.9983,3.72,0.54,10,4
6.4,0.38,0.05,1.8,0.051,14.0,44.0,0.9948,3.52,0.71,12.6,6
10.4,0.26,0.42,1.9,0.08199999999999999,10.0,21.0,0.997,3.25,0.48,9.4,5
5.9,0.42,0.24,1.5,0.075,6.0,16.0,0.99685,3.52,0.58,9.7,5
7.1,0.32,0.23,2.0,0.071,34.0,68.0,0.9949600000000001,3.48,0.81,11.2,6
9.9,0.59,0.31,2.5,0.08900000000000001,35.0,72.0,0.998,3.29,0.5,9.3,5
6.9,1.09,0.09,2.1,0.07200000000000001,17.0,25.0,0.9961,3.53,0.64,9.8,5
8.4,0.39,0.29,3.0,0.10300000000000001,14.0,20.0,0.9946799999999999,3.26,0.54,12.6,6
8.7,0.385,0.3,1.5,0.098,20.0,67.0,0.9968,3.26,0.55,9.4,5
12.5,0.26,0.58,2.4,0.07400000000000001,6.0,22.0,0.9993,3.1,0.86,10.2,6
6.7,0.79,0.02,1.9,0.052000000000000005,9.0,22.0,0.9946,3.57,0.48,10.6,6
6.6,0.64,0.01,1.7,0.057,5.0,13.0,0.9947799999999999,3.32,0.56,9.7,7
8.8,0.27,0.62,2.0,0.111,6.0,20.0,0.9955,3.28,0.76,11.3,6
7.0,0.26,0.39,2.5,0.079,21.0,60.0,0.99655,3.43,0.63,11.1,6
13.3,0.42,0.52,3.3,0.083,19.0,55.0,10.002,3.26,0.58,10,5
13.3,0.47,0.61,2.4,0.095,6.0,48.0,10.022,3.07,0.48,9.5,5
8.6,0.885,0.23,2.0,0.086,6.0,32.0,0.9971,3.16,0.47,9.2,5
10.7,0.39,0.45,3.2,0.069,6.0,17.0,0.9987,3.22,0.82,11.5,7
9.4,0.26,0.34,2.6,0.068,6.0,10.0,0.9957600000000001,3.22,0.77,11.1,7
7.8,0.53,0.14,4.0,0.07400000000000001,52.0,73.0,0.99618,3.27,0.57,9.5,6
8.2,0.63,0.39,2.5,0.081,13.0,70.0,0.9971,3.35,0.47,9.5,5
7.5,0.755,0.12,1.8,0.078,6.0,24.0,0.9950200000000001,3.38,0.68,10.4,5
7.8,0.675,0.09,2.3,0.078,10.0,22.0,0.9967600000000001,3.26,0.51,10.8,5
6.4,0.36,0.19,1.5,0.077,13.0,44.0,0.99254,3.32,0.58,11.4,6
6.9,0.6,0.04,2.3,0.077,12.0,49.0,0.9974,3.52,0.64,9.4,5
9.3,0.51,0.44,2.0,0.08,5.0,13.0,0.99839,3.27,0.72,9.7,5
7.1,0.44,0.38,2.3,0.069,33.0,78.0,0.996,3.21,0.61,9.9,6
8.0,0.58,0.0,2.0,0.109,14.0,27.0,0.9963,3.48,0.66,11.3,6
7.1,0.59,0.08,1.7,0.087,17.0,35.0,0.9966,3.32,0.61,9.4,6
7.9,0.36,0.21,1.9,0.078,18.0,36.0,0.9966,3.47,0.55,9.7,6
6.3,0.46,0.04,1.9,0.07,15.0,23.0,0.99472,3.66,0.71,11.2,6
8.8,0.43,0.43,2.2,0.098,27.0,60.0,0.9957799999999999,3.33,0.79,11.1,6
10.4,0.24,0.48,2.8,0.052000000000000005,8.0,20.0,0.9972,3.18,0.9,10.9,6
7.0,0.39,0.22,2.1,0.067,14.0,31.0,0.9945799999999999,3.36,0.54,11.7,6
9.0,0.59,0.0,1.7,0.08199999999999999,3.0,11.0,0.9984,3.36,0.53,9.7,6
6.6,0.66,0.1,1.6,0.08900000000000001,12.0,56.0,0.9968,3.51,0.64,9.3,5
9.4,0.635,0.19,2.4,0.083,23.0,75.0,10.002,3.24,0.56,9.4,5
7.9,0.59,0.05,2.2,0.076,27.0,52.0,0.9951,3.39,0.62,11.6,7
7.6,0.605,0.03,7.6,0.11,8.0,24.0,0.9962,3.27,0.89,9.7,4
8.0,0.52,0.25,2.3,0.087,21.0,127.0,0.9964,3.23,0.61,9.5,5
10.5,0.47,0.6,2.5,0.077,6.0,25.0,0.9983,3.06,0.79,*,6
8.4,0.5,0.24,2.2,0.055,24.0,120.0,0.9968,3.15,0.86,10.2,5
7.5,0.52,0.12,2.7,0.084,32.0,45.0,0.9948799999999999,3.34,0.54,11.8,6
11.8,0.18,0.54,4.0,0.10400000000000001,4.0,23.0,0.9996,3.22,0.97,10.1,6
7.9,1.09,0.06,3.1,0.10400000000000001,7.0,31.0,0.996,3.41,0.43,9.6,3
7.7,0.41,0.21,1.8,0.079,29.0,46.0,0.9956799999999999,3.49,0.55,9.8,6
7.8,0.49,0.14,2.8,0.066,12.0,28.0,0.99556,3.4,0.64,11.2,7
7.4,0.34,0.38,2.4,0.062,14.0,70.0,0.9969,3.49,0.62,10.1,6
10.1,0.33,0.29,2.2,0.105,5.0,22.0,0.9996,3.16,0.65,10.1,5
6.6,0.39,0.43,2.0,0.071,34.0,63.0,0.9979,3.47,0.75,9.2,5
7.0,0.43,0.34,2.7,0.08199999999999999,9.0,24.0,0.9968,3.23,0.46,10.9,6
8.8,0.4,0.11,1.9,0.075,10.0,29.0,0.99711,3.14,0.76,10.4,6
9.0,0.38,0.41,2.8,0.11800000000000001,3.0,9.0,0.99626,3.24,0.55,12.3,7
